Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-11-22,4440,4455,4345,4355,4345.870117,1020000,40
2022-11-24,4400,4440,4375,4375,4365.828125,804400,41
2022-11-25,4390,4390,4310,4360,4350.859863,636300,42
2022-11-28,4370,4370,4295,4340,4330.901367,660500,43
2022-11-29,4295,4300,4240,4280,4271.027344,990200,44
2022-11-30,4245,4260,4135,4175,4166.247559,2342000,45
2022-12-01,4185,4215,4135,4215,4206.163574,1074400,46
2022-12-02,4250,4250,4160,4225,4216.142578,828800,47
2022-12-05,4205,4220,4120,4155,4146.289551,980900,48
2022-12-06,4160,4215,4130,4195,4186.205566,670200,49
2022-12-07,4175,4305,4150,4285,4276.01709,1115100,50
2022-12-08,4285,4305,4205,4255,4246.07959,730900,51
2022-12-09,4325,4430,4290,4375,4365.828125,816300,52
2022-12-12,4335,4400,4320,4370,4360.838867,538100,53
2022-12-13,4400,4420,4320,4320,4310.943359,653400,54
2022-12-14,4320,4360,4305,4355,4345.870117,500800,55
2022-12-15,4395,4395,4315,4325,4315.933105,630900,56
2022-12-16,4325,4330,4250,4280,4271.027344,906600,57
2022-12-19,4240,4290,4230,4250,4241.090332,487800,58
2022-12-20,4250,4275,4150,4185,4176.226563,708700,59
2022-12-21,4170,4280,4135,4215,4206.163574,739500,60
2022-12-22,4240,4295,4210,4270,4261.04834,552500,61
2022-12-23,4255,4270,4165,4180,4171.236816,477300,62
2022-12-26,4170,4230,4160,4225,4216.142578,285700,63
2022-12-27,4225,4280,4215,4255,4246.07959,340200,64
2022-12-28,4270,4285,4180,4180,4171.236816,401800,65
2022-12-29,4200,4275,4200,4275,4266.037598,477100,66
2022-12-30,4275,4300,4200,4210,4201.174316,375000,67
2023-01-04,4265,4275,4210,4250,4241.090332,793400,68
2023-01-05,4180,4225,4085,4120,4111.362793,628100,69
2023-01-06,4105,4125,4005,4055,4046.499023,815400,70
2023-01-10,4055,4130,4050,4080,4071.446533,568400,71
2023-01-11,4035,4140,4030,4130,4121.341797,502300,72
2023-01-12,4110,4150,4070,4080,4071.446533,436100,73
2023-01-13,4090,4125,4000,4010,4001.593262,784300,74
2023-01-16,3995,4070,3975,4015,4006.583008,414300,75
2023-01-17,4115,4170,4065,4075,4066.457031,738900,76
2023-01-18,4060,4190,4055,4145,4136.310547,742600,77
2023-01-19,4080,4185,4050,4125,4116.352051,652000,78
2023-01-20,4080,4105,4030,4050,4041.509521,705500,79
2023-01-23,4060,4135,4060,4115,4106.373047,715300,80
2023-01-24,4135,4190,4120,4185,4176.226563,671900,81
2023-01-25,4230,4235,4170,4225,4216.142578,435100,82
2023-01-26,4220,4230,4180,4200,4191.194824,474400,83
2023-01-27,4225,4230,4130,4155,4146.289551,505600,84
2023-01-30,4085,4230,4080,4215,4206.163574,976100,85
2023-01-31,4160,4285,4120,4200,4191.194824,1790300,86
2023-02-01,4200,4330,4150,4160,4151.278809,850300,87
2023-02-02,4225,4285,4210,4270,4261.04834,711600,88
2023-02-03,4220,4255,4185,4255,4246.07959,781800,89
2023-02-06,4280,4295,4145,4185,4176.226563,702500,90
2023-02-07,4210,4255,4175,4185,4176.226563,567900,91
2023-02-08,4205,4230,4175,4205,4196.18457,588900,92
2023-02-09,4145,4240,4140,4230,4221.132324,464100,93
2023-02-10,4220,4385,4205,4290,4281.006348,798600,94
2023-02-13,4300,4310,4205,4240,4231.111328,464800,95
2023-02-14,4310,4410,4305,4405,4395.765137,731600,96
2023-02-15,4435,4455,4365,4385,4375.807129,689700,97
2023-02-16,4410,4515,4410,4510,4500.54541,596700,98
2023-02-17,4450,4580,4440,4540,4530.482422,721100,99
2023-02-20,4530,4555,4475,4490,4480.586914,509200,100
2023-02-21,4530,4600,4495,4505,4495.555664,855900,101
2023-02-22,4485,4505,4365,4440,4430.691895,825500,102
2023-02-24,4370,4400,4315,4380,4370.817871,703900,103
2023-02-27,4315,4320,4240,4265,4256.058594,634500,104
2023-02-28,4285,4325,4265,4285,4276.01709,751300,105
2023-03-01,4265,4315,4240,4315,4305.954102,488200,106
2023-03-02,4315,4360,4305,4355,4345.870117,507400,107
2023-03-03,4360,4365,4275,4335,4325.912109,727300,108
2023-03-06,4370,4445,4360,4385,4375.807129,561200,109
2023-03-07,4375,4420,4370,4400,4390.775879,470400,110
2023-03-08,4460,4480,4400,4425,4415.723145,616400,111
2023-03-09,4470,4475,4435,4460,4450.649902,461300,112
2023-03-10,4405,4440,4370,4395,4385.786133,599100,113
2023-03-13,4375,4430,4340,4425,4415.723145,393000,114
2023-03-14,4395,4400,4300,4370,4360.838867,684700,115
2023-03-15,4385,4405,4315,4335,4325.912109,500400,116
2023-03-16,4270,4495,4265,4485,4475.597656,958500,117
2023-03-17,4445,4630,4440,4620,4610.314453,1223400,118
2023-03-20,4670,4695,4565,4580,4570.398438,948800,119
2023-03-22,4650,4700,4610,4685,4675.178223,991100,120
2023-03-23,4690,4730,4645,4715,4705.115234,846300,121
2023-03-24,4745,4745,4665,4730,4720.083984,667000,122
2023-03-27,4760,4765,4680,4685,4675.178223,705200,123
